dep,day,class10,class1,class2,class3,class4,class5_6,class7_8,class9,pdo,enso,npgo,ssht_dep0,salt_dep0,tempt_dep0
HI05,733813,1,0,0,0,3,1,69,0,-1.78,-0.85,0.93479762,0.63375,34.96025,24.8815
HI05,733814,2,0,0,0,3,0,45,6,-1.78,-0.85,0.93479762,0.6345,34.9665,25.01475
HI05,733815,0,0,0,0,1,1,123,0,-1.78,-0.85,0.93479762,0.62275,34.97425,24.8395
HI05,733816,0,5,0,0,1,1,125,0,-1.78,-0.85,0.93479762,0.6345,34.97425,24.75625
HI05,733817,2,3,1,0,1,0,128,0,-1.78,-0.85,0.93479762,0.60025,34.9905,24.634
HI05,733818,0,1,0,0,1,0,135,1,-1.78,-0.85,0.93479762,0.5795,34.99925,24.6525
HI05,733819,1,0,0,0,0,0,139,0,-1.78,-0.85,0.93479762,0.6215,35.0045,24.62125
HI05,733820,0,0,0,0,3,3,111,0,-1.78,-0.94,0.93479762,0.6425,34.96225,24.7035
HI05,733821,0,3,1,0,2,12,117,0,-1.78,-0.94,0.93479762,0.6245,34.93725,24.566
HI05,733822,2,0,0,0,0,23,157,0,-1.78,-0.94,0.93479762,0.6345,34.947,24.498
HI05,733823,0,0,0,0,0,1,108,0,-1.78,-0.94,0.93479762,0.6255,34.93525,24.406
HI05,733824,0,0,5,0,1,2,131,0,-1.78,-0.94,0.93479762,0.59975,34.9535,24.345
HI05,733825,0,0,0,0,0,0,87,0,-1.78,-0.94,0.93479762,0.5715,34.9655,24.08675
HI05,733826,0,6,0,0,0,0,78,0,-1.78,-0.94,0.93479762,0.56475,34.96825,24.35975
HI05,733827,0,0,0,0,1,0,120,0,-1.78,-0.94,0.93479762,0.5845,34.971,24.14125
HI05,733828,0,0,0,0,0,0,109,0,-1.78,-0.94,0.93479762,0.545,34.965,24.1845
HI05,733829,0,0,1,0,0,5,111,0,-1.78,-0.94,0.93479762,0.53875,34.96275,23.99875
HI05,733830,0,0,0,0,7,3,166,0,-1.78,-0.94,0.93479762,0.55275,34.96375,24.254
HI05,733831,0,0,0,0,0,2,155,0,-1.78,-0.94,0.93479762,0.56225,34.95275,24.17125
HI05,733832,0,0,0,0,0,1,124,0,-1.78,-0.94,0.93479762,0.51375,34.95075,24.058
HI05,733833,2,0,0,0,1,3,134,0,-2.06,-0.94,0.35072815,0.49675,34.94275,23.95525
HI05,733834,0,0,0,0,0,3,65,14,-2.06,-0.94,0.35072815,0.524,34.93475,24.00025
