dep,day,class10,class1,class2,class3,class4,class5_6,class7_8,class9,pdo,enso,npgo,ssht_dep0,salt_dep0,tempt_dep0
PHR01,734065,0,1.499222,0,0,3.001242,0,16.490353,0,-0.13,1.05,1.1523498,0.692,35.365,26.93575
PHR01,734066,0,4.497666,0,0,0,0,0,0,-0.13,1.05,1.1523498,0.70725,35.35775,26.45975
PHR01,734067,0,0,0,0,3.001242,0,7.495615,2.99691,-0.13,1.05,1.1523498,0.709,35.339,26.5455
PHR01,734068,0,0,1.502538,0,3.001242,1.501944,11.992984,0,-0.13,1.05,1.1523498,0.68,35.341,26.346
PHR01,734069,0,0,1.502538,0,10.504347,3.003888,2.998246,0,-0.13,1.05,1.1523498,0.69975,35.356,26.4
PHR01,734070,0,2.998444,0,0,30.01242,4.505832,2.998246,0,-0.13,1.05,1.1523498,0.712,35.37125,26.345
PHR01,734071,0,2.998444,0,1.498652,12.004968,0,7.495615,5.99382,-0.13,1.05,1.1523498,0.694,35.3825,26.06975
PHR01,734072,0,0,3.005076,0,3.001242,6.007776,2.998246,0,-0.13,1.05,1.1523498,0.69475,35.3905,26.18175
PHR01,734073,0,2.998444,0,0,3.001242,9.011664,1.499123,0,-0.13,1.05,1.1523498,0.66925,35.364,26.053
PHR01,734074,0,2.998444,1.502538,0,18.007452,0,1.499123,1.498455,-0.13,1.05,1.1523498,0.66275,35.3675,25.44775
PHR01,734075,0,4.497666,4.507614,0,1.500621,0,8.994738,0,-0.13,1.05,1.1523498,0.64975,35.3655,25.2055
PHR01,734076,0,0,0,0,0,0,4.497369,0,-0.13,1.05,1.1523498,0.65,35.36025,24.985
PHR01,734077,0,7.49611,0,0,4.501863,0,2.998246,1.498455,-0.13,1.05,1.1523498,0.6575,35.3635,25.1085
PHR01,734078,0,4.497666,0,0,0,0,4.497369,0,-0.94,1.05,1.0489952,0.67225,35.3615,25.048
PHR01,734079,0,0,3.005076,0,1.500621,1.501944,1.499123,0,-0.94,1.05,1.0489952,0.694,35.366,24.58125
PHR01,734080,0,4.497666,1.502538,0,1.500621,1.501944,2.998246,1.498455,-0.94,1.05,1.0489952,0.69575,35.3605,24.38125
PHR01,734081,0,2.998444,0,0,12.004968,0,2.998246,0,-0.94,1.05,1.0489952,0.70825,35.35775,24.19
PHR01,734082,0,1.499222,0,0,7.503105,1.501944,8.994738,0,-0.94,1.05,1.0489952,0.69975,35.35,23.9555
PHR01,734083,0,5.996888,0,0,6.002484,0,5.996492,0,-0.94,1.05,1.0489952,0.6865,35.3465,23.854
PHR01,734084,0,2.998444,1.502538,0,0,0,0,0,-0.94,1.05,1.0489952,0.679,35.337,23.67
PHR01,734085,0,4.497666,0,0,1.500621,0,14.99123,1.498455,-0.94,1.05,1.0489952,0.686,35.36375,23.7355
PHR01,734086,0,2.998444,0,0,1.500621,0,0,0,-0.94,1.05,1.0489952,0.6825,35.36125,23.79925
PHR01,734087,0,4.497666,0,0,4.501863,0,5.996492,2.99691,-0.94,1.05,1.0489952,0.66325,35.36025,23.50625
PHR01,734088,0,10.494554,0,0,19.508073,3.003888,0,1.498455,-0.94,1.05,1.0489952,0.636,35.36025,23.68425
PHR01,734089,0,2.998444,1.502538,0,1.500621,0,5.996492,0,-0.94,1.05,1.0489952,0.642,35.34875,23.9545
PHR01,734090,0,2.998444,1.502538,0,0,4.505832,1.499123,0,-0.94,1.05,1.0489952,0.68475,35.29725,23.78475
PHR01,734091,0,8.995332,0,0,0,0,0,1.498455,-0.94,1.05,1.0489952,0.6655,35.255,23.588
PHR01,734092,0,0,1.502538,0,0,0,0,0,-0.94,1.05,1.0489952,0.68625,35.23725,23.5145
PHR01,734093,0,5.996888,0,0,1.500621,1.501944,8.994738,0,-0.94,0.96,1.0489952,0.66625,35.195,23.0355
